"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2025-01-01,NA,"D5","TM",8.8
2025-01-01,"12:15:00","D5","TX",13.3
2025-01-01,"07:25:00","D5","TN",7.1
2025-01-01,NA,"D5","HRM",85
2025-01-01,"07:44:00","D5","HRX",95
2025-01-01,"12:20:00","D5","HRN",66
2025-01-01,NA,"D5","PM",980.9
2025-01-01,"00:01:00","D5","PX",982.6
2025-01-01,"23:59:00","D5","PN",978.7
2025-01-01,NA,"D5","PPT",0
2025-01-01,NA,"D5","RS24h",6.3
2025-01-01,NA,"D5","VVM10",2.5
2025-01-01,NA,"D5","DVM10",318
2025-01-01,"23:57:00","D5","VVX10",7.1
2025-01-01,"23:57:00","D5","DVVX10",284
2025-01-01,NA,"X4","TM",11.3
2025-01-01,"11:20:00","X4","TX",14.7
2025-01-01,"07:34:00","X4","TN",9
2025-01-01,NA,"X4","HRM",73
2025-01-01,"04:28:00","X4","HRX",86
2025-01-01,"10:50:00","X4","HRN",59
2025-01-01,NA,"X4","PM",1026.3
2025-01-01,"00:00:00","X4","PX",1028.1
2025-01-01,"23:59:00","X4","PN",1024.1
2025-01-01,NA,"X4","PPT",0
2025-01-01,NA,"X4","RS24h",5.9
2025-01-01,NA,"X4","VVM10",1
2025-01-01,NA,"X4","DVM10",1
2025-01-01,"05:57:00","X4","VVX10",4.5
2025-01-01,"05:57:00","X4","DVVX10",351
2025-01-01,NA,"X8","TM",10.2
2025-01-01,"13:18:00","X8","TX",15.8
2025-01-01,"07:35:00","X8","TN",6.4
2025-01-01,NA,"X8","HRM",84
2025-01-01,"09:01:00","X8","HRX",100
2025-01-01,"14:49:00","X8","HRN",55
2025-01-01,NA,"X8","PM",1020.5
2025-01-01,"00:02:00","X8","PX",1022.2
2025-01-01,"23:58:00","X8","PN",1018.4
2025-01-01,NA,"X8","PPT",0
2025-01-01,NA,"X8","RS24h",9.1
2025-01-01,NA,"X8","VVM10",0.9
2025-01-01,NA,"X8","DVM10",281
2025-01-01,"22:11:00","X8","VVX10",3.9
2025-01-01,"22:11:00","X8","DVVX10",322
2025-01-02,NA,"D5","TM",7.1
2025-01-02,"13:08:00","D5","TX",13
2025-01-02,"23:20:00","D5","TN",2.3
2025-01-02,NA,"D5","HRM",69
2025-01-02,"22:39:00","D5","HRX",82
2025-01-02,"13:09:00","D5","HRN",51
2025-01-02,NA,"D5","PM",975.6
2025-01-02,"00:04:00","D5","PX",978.8
2025-01-02,"23:59:00","D5","PN",973.2
2025-01-02,NA,"D5","PPT",0
2025-01-02,NA,"D5","RS24h",8.8
2025-01-02,NA,"D5","VVM10",5
2025-01-02,NA,"D5","DVM10",291
2025-01-02,"08:35:00","D5","VVX10",14.1
2025-01-02,"08:35:00","D5","DVVX10",329
2025-01-02,NA,"X4","TM",11.2
2025-01-02,"13:39:00","X4","TX",15.8
2025-01-02,"23:48:00","X4","TN",6.7
2025-01-02,NA,"X4","HRM",53
2025-01-02,"00:12:00","X4","HRX",69
2025-01-02,"13:39:00","X4","HRN",41
2025-01-02,NA,"X4","PM",1021.1
2025-01-02,"00:00:00","X4","PX",1024.1
2025-01-02,"15:42:00","X4","PN",1018.9
2025-01-02,NA,"X4","PPT",0
2025-01-02,NA,"X4","RS24h",9
2025-01-02,NA,"X4","VVM10",2.9
2025-01-02,NA,"X4","DVM10",304
2025-01-02,"11:04:00","X4","VVX10",10.8
2025-01-02,"11:04:00","X4","DVVX10",310
2025-01-02,NA,"X8","TM",9.8
2025-01-02,"13:21:00","X8","TX",15
2025-01-02,"23:31:00","X8","TN",5.8
2025-01-02,NA,"X8","HRM",59
2025-01-02,"00:00:00","X8","HRX",77
2025-01-02,"13:27:00","X8","HRN",45
2025-01-02,NA,"X8","PM",1015.5
2025-01-02,"00:00:00","X8","PX",1018.4
2025-01-02,"23:59:00","X8","PN",1013.2
2025-01-02,NA,"X8","PPT",0
2025-01-02,NA,"X8","RS24h",8.6
2025-01-02,NA,"X8","VVM10",3.4
2025-01-02,NA,"X8","DVM10",305
2025-01-02,"09:48:00","X8","VVX10",11.5
2025-01-02,"09:48:00","X8","DVVX10",295
2025-01-03,NA,"D5","TM",6.6
2025-01-03,"14:14:00","D5","TX",10.9
2025-01-03,"00:00:00","D5","TN",2.8
2025-01-03,NA,"D5","HRM",72
2025-01-03,"23:53:00","D5","HRX",82
2025-01-03,"14:19:00","D5","HRN",57
2025-01-03,NA,"D5","PM",971.5
2025-01-03,"00:01:00","D5","PX",973.3
2025-01-03,"05:50:00","D5","PN",970
2025-01-03,NA,"D5","PPT",0
2025-01-03,NA,"D5","RS24h",5.5
2025-01-03,NA,"D5","VVM10",7.6
2025-01-03,NA,"D5","DVM10",319
2025-01-03,"05:31:00","D5","VVX10",15.7
2025-01-03,"05:31:00","D5","DVVX10",337
2025-01-03,NA,"X4","TM",10.6
2025-01-03,"13:56:00","X4","TX",14.4
2025-01-03,"00:30:00","X4","TN",6.8
2025-01-03,NA,"X4","HRM",56
2025-01-03,"23:59:00","X4","HRX",67
2025-01-03,"14:01:00","X4","HRN",44
2025-01-03,NA,"X4","PM",1016.8
2025-01-03,"00:00:00","X4","PX",1019.3
2025-01-03,"14:58:00","X4","PN",1014.8
2025-01-03,NA,"X4","PPT",0
2025-01-03,NA,"X4","RS24h",5.4
2025-01-03,NA,"X4","VVM10",3.5
2025-01-03,NA,"X4","DVM10",314
2025-01-03,"10:45:00","X4","VVX10",11.4
2025-01-03,"10:45:00","X4","DVVX10",296
2025-01-03,NA,"X8","TM",9.6
2025-01-03,"20:13:00","X8","TX",12.7
2025-01-03,"00:30:00","X8","TN",5.7
2025-01-03,NA,"X8","HRM",61
2025-01-03,"07:10:00","X8","HRX",70
2025-01-03,"13:58:00","X8","HRN",50
2025-01-03,NA,"X8","PM",1011.2
2025-01-03,"00:00:00","X8","PX",1013.3
2025-01-03,"14:53:00","X8","PN",1009.3
2025-01-03,NA,"X8","PPT",0
2025-01-03,NA,"X8","RS24h",5.3
2025-01-03,NA,"X8","VVM10",3.9
2025-01-03,NA,"X8","DVM10",310
2025-01-03,"00:04:00","X8","VVX10",10.8
2025-01-03,"00:04:00","X8","DVVX10",311
2025-01-04,NA,"D5","TM",9.9
2025-01-04,"14:20:00","D5","TX",16
2025-01-04,"05:02:00","D5","TN",6.5
2025-01-04,NA,"D5","HRM",80
2025-01-04,"17:09:00","D5","HRX",93
2025-01-04,"13:49:00","D5","HRN",59
2025-01-04,NA,"D5","PM",971
2025-01-04,"10:34:00","D5","PX",972.6
2025-01-04,"23:58:00","D5","PN",968.6
2025-01-04,NA,"D5","PPT",0
2025-01-04,NA,"D5","RS24h",7.7
2025-01-04,NA,"D5","VVM10",4.2
2025-01-04,NA,"D5","DVM10",302
2025-01-04,"00:18:00","D5","VVX10",12.4
2025-01-04,"00:18:00","D5","DVVX10",331
2025-01-04,NA,"X4","TM",12.8
2025-01-04,"13:11:00","X4","TX",16.6
2025-01-04,"05:30:00","X4","TN",10.5
2025-01-04,NA,"X4","HRM",69
2025-01-04,"18:25:00","X4","HRX",84
2025-01-04,"13:11:00","X4","HRN",53
2025-01-04,NA,"X4","PM",1015.9
2025-01-04,"10:33:00","X4","PX",1017.7
2025-01-04,"23:58:00","X4","PN",1013.4
2025-01-04,NA,"X4","PPT",0
2025-01-04,NA,"X4","RS24h",7.9
2025-01-04,NA,"X4","VVM10",1.6
2025-01-04,NA,"X4","DVM10",296
2025-01-04,"03:52:00","X4","VVX10",8
2025-01-04,"03:52:00","X4","DVVX10",336
2025-01-04,NA,"X8","TM",12
2025-01-04,"13:31:00","X8","TX",16.4
2025-01-04,"04:10:00","X8","TN",7.9
2025-01-04,NA,"X8","HRM",74
2025-01-04,"18:00:00","X8","HRX",100
2025-01-04,"13:35:00","X8","HRN",55
2025-01-04,NA,"X8","PM",1010.2
2025-01-04,"10:30:00","X8","PX",1011.9
2025-01-04,"23:59:00","X8","PN",1007.6
2025-01-04,NA,"X8","PPT",0
2025-01-04,NA,"X8","RS24h",7.7
2025-01-04,NA,"X8","VVM10",1.6
2025-01-04,NA,"X8","DVM10",294
2025-01-04,"00:24:00","X8","VVX10",10.2
2025-01-04,"00:24:00","X8","DVVX10",1
2025-01-05,NA,"D5","TM",10.4
2025-01-05,"13:47:00","D5","TX",16
2025-01-05,"08:12:00","D5","TN",7.8
2025-01-05,NA,"D5","HRM",72
2025-01-05,"22:39:00","D5","HRX",93
2025-01-05,"13:40:00","D5","HRN",57
2025-01-05,NA,"D5","PM",963.6
2025-01-05,"00:01:00","D5","PX",968.7
2025-01-05,"23:51:00","D5","PN",959.3
2025-01-05,NA,"D5","PPT",0
2025-01-05,NA,"D5","RS24h",7.3
2025-01-05,NA,"D5","VVM10",5.9
2025-01-05,NA,"D5","DVM10",269
2025-01-05,"08:10:00","D5","VVX10",13.3
2025-01-05,"08:10:00","D5","DVVX10",304
2025-01-05,NA,"X4","TM",12.9
2025-01-05,"13:28:00","X4","TX",16.1
2025-01-05,"01:48:00","X4","TN",10.5
2025-01-05,NA,"X4","HRM",64
2025-01-05,"23:39:00","X4","HRX",82
2025-01-05,"11:22:00","X4","HRN",45
2025-01-05,NA,"X4","PM",1008.1
2025-01-05,"00:00:00","X4","PX",1013.4
2025-01-05,"23:54:00","X4","PN",1003.6
2025-01-05,NA,"X4","PPT",0
2025-01-05,NA,"X4","RS24h",7.7
2025-01-05,NA,"X4","VVM10",2.1
2025-01-05,NA,"X4","DVM10",262
2025-01-05,"07:48:00","X4","VVX10",9.2
2025-01-05,"07:48:00","X4","DVVX10",300
2025-01-05,NA,"X8","TM",11.7
2025-01-05,"14:00:00","X8","TX",15.9
2025-01-05,"01:16:00","X8","TN",8.7
2025-01-05,NA,"X8","HRM",69
2025-01-05,"23:18:00","X8","HRX",96
2025-01-05,"13:11:00","X8","HRN",53
2025-01-05,NA,"X8","PM",1002.5
2025-01-05,"00:00:00","X8","PX",1007.6
2025-01-05,"23:59:00","X8","PN",997.9
2025-01-05,NA,"X8","PPT",0
2025-01-05,NA,"X8","RS24h",7.2
2025-01-05,NA,"X8","VVM10",2.2
2025-01-05,NA,"X8","DVM10",280
2025-01-05,"10:50:00","X8","VVX10",8.7
2025-01-05,"10:50:00","X8","DVVX10",283
2025-01-06,NA,"D5","TM",12
